start
LCK (By Games)
week
AFs LZ 1
AFs LZ 1
CJ Ever 0
CJ Ever 0
ROX SSG 0
ROX SSG 0
MVP KT 0
MVP KT 0
JAG LZ 1
JAG LZ 1
week
AFs SSG 0
AFs SSG 0
Ever JAG 1
Ever JAG 0
Ever JAG 0
ROX MVP 1
ROX MVP 1
ROX MVP 0
LZ KT 1
LZ KT 0
LZ KT 0
SKT CJ 1
SKT CJ 1
Ever ROX 0
Ever ROX 0
SSG MVP 1
SSG MVP 1
KT SKT 0
KT SKT 0
CJ AFs 0
CJ AFs 0
week
ROX SKT 0
ROX SKT 0
LZ CJ 1
LZ CJ 0
LZ CJ 0
SSG JAG 1
SSG JAG 1
KT ROX 1
KT ROX 0
KT ROX 0
Ever LZ 0
Ever LZ 0
CJ JAG 0
CJ JAG 0
KT AFs 1
KT AFs 1
MVP Ever 1
MVP Ever 1
SKT SSG 1
SKT SSG 1
week
SKT MVP 1
SKT MVP 1
JAG AFs 1
JAG AFs 1
ROX CJ 1
ROX CJ 1
ROX CJ 0
SSG LZ 0
SSG LZ 0
AFs Ever 0
AFs Ever 0
JAG SKT 1
JAG SKT 1
JAG SKT 0
ROX LZ 1
ROX LZ 1
Ever KT 0
Ever KT 0
CJ SSG 1
CJ SSG 0
CJ SSG 0
week
JAG MVP 0
JAG MVP 0
SSG KT 0
SSG KT 0
SKT AFs 0
SKT AFs 0
MVP CJ 1
MVP CJ 1
JAG ROX 0
JAG ROX 0
Ever SSG 1
Ever SSG 0
Ever SSG 0
LZ SKT 0
LZ SKT 0
CJ KT 1
CJ KT 0
CJ KT 0
ROX AFs 1
ROX AFs 1
week
MVP LZ 1
MVP LZ 1
KT JAG 1
KT JAG 1
KT JAG 0
AFs MVP 1
AFs MVP 1
AFs MVP 0
SKT Ever 1
SKT Ever 0
SKT Ever 0
week
AFs KT 1
AFs KT 1
AFs KT 0
LZ MVP 0
LZ MVP 0
SSG Ever 1
SSG Ever 1
JAG CJ 0
JAG CJ 0
SKT ROX 1
SKT ROX 1
LZ SSG 0
LZ SSG 0
CJ MVP 1
CJ MVP 0
CJ MVP 0
SKT KT 1
SKT KT 1
SKT KT 0
ROX JAG 1
ROX JAG 1
ROX JAG 0
week
MVP SKT 0
MVP SKT 0
JAG SSG 0
JAG SSG 0
ROX KT 1
ROX KT 1
Ever AFs 1
Ever AFs 1
Ever AFs 0
CJ LZ 0
# CJ LZ 0 JAG KT 1 teemo game = not really game
JAG KT 0
JAG KT 0
# JAG KT 1 teemo pick = not really game
MVP AFs 0
MVP AFs 0
ROX SSG 1
SSG ROX 0
SSG ROX 0
LZ Ever 1
LZ Ever 1
LZ Ever 0
# week not done
end
