start
LCK spring 16
week
CJ SKT 0
CJ SKT 0
AFs KT 0
AFs KT 0
LZ JAG 1
LZ JAG 1
SSG KDM 1
SSG KDM 1
KT SBENU 1
KT SBENU 1
ROX CJ 1
ROX CJ 1
AFs SSG 0
AFs SSG 0
JAG SKT 1
JAG SKT 1
week
SSG LZ 1
SSG LZ 1
SSG LZ 0
KDM JAG 0
KDM JAG 0
KT ROX 1
KT ROX 0
KT ROX 0
SBENU CJ 1
SBENU CJ 0
SBENU CJ 0
SSG SKT 0
SSG SKT 0
AFs JAG 1
AFs JAG 0
AFs JAG 0
SBENU KDM 1
SBENU KDM 0
SBENU KDM 0
LZ ROX 0
LZ ROX 0
week
AFs SBENU 1
AFs SBENU 1
ROX SKT 1
ROX SKT 1
ROX SKT 0
JAG CJ 1
JAG CJ 1
KT SSG 1
KT SSG 1
SKT KDM 1
SKT KDM 1
SKT KDM 0
LZ AFs 1
LZ AFs 1
ROX SSG 1
ROX SSG 1
JAG SBENU 1
JAG SBENU 1
week
KDM KT 0
KDM KT 0
CJ LZ 1
CJ LZ 1
CJ LZ 0
AFs ROX 1
AFs ROX 0
AFs ROX 0
SBENU SKT 0
SBENU SKT 0
JAG SSG 1
JAG SSG 0
JAG SSG 0
KDM LZ 0
KDM LZ 0
week
LZ SBENU 1
LZ SBENU 1
LZ SBENU 0
ROX KDM 1
ROX KDM 1
CJ AFs 1
CJ AFs 1
CJ AFs 0
SKT KT 1
SKT KT 1
week
KT JAG 1
KT JAG 0
KT JAG 0
SSG CJ 1
SSG CJ 1
SSG CJ 0
SKT LZ 0
SKT LZ 0
KDM AFs 0
KDM AFs 0
KT CJ 1
KT CJ 1
KT CJ 0
JAG ROX 0
JAG ROX 0
SKT AFs 1
SKT AFs 0
SKT AFs 0
SBENU SSG 0
SBENU SSG 0
week
ROX SBENU 1
ROX SBENU 1
LZ KT 1
LZ KT 0
LZ KT 0
CJ KDM 1
CJ KDM 1
CJ KDM 0
week
SBENU JAG 0
SBENU JAG 0
KDM CJ 1
KDM CJ 0
KDM CJ 0
SSG KT 0
SSG KT 0
ROX LZ 1
ROX LZ 1
CJ SBENU 1
CJ SBENU 1
CJ SBENU 0
week
LZ KDM 1
LZ KDM 1
JAG KT 1
JAG KT 1
CJ SSG 1
CJ SSG 1
SBENU ROX 0
SBENU ROX 0
AFs SKT 1
AFs SKT 0
AFs SKT 0
JAG KDM 1
JAG KDM 1
KT LZ 1
KT LZ 1
SSG ROX 1
SSG ROX 1
SSG ROX 0
week
SKT JAG 1
SKT JAG 1
AFs KDM 1
AFs KDM 1
AFs KDM 0
LZ CJ 1
LZ CJ 0
LZ CJ 0
SBENU KT 0
SBENU KT 0
SKT ROX 0
SKT ROX 0
SSG AFs 1
SSG AFs 0
SSG AFs 0
KDM SBENU 0
KDM SBENU 0
CJ JAG 1
CJ JAG 0
CJ JAG 0
week
SSG SBENU 1
SSG SBENU 1
CJ ROX 0
CJ ROX 0
KT AFs 1
KT AFs 0
KT AFs 0
LZ SKT 0
LZ SKT 0
KDM ROX 0
KDM ROX 0
SSG JAG 1
SSG JAG 1
SSG JAG 0
SKT CJ 1
SKT CJ 1
SBENU AFs 1
SBENU AFs 0
SBENU AFs 0
week
ROX KT 1
ROX KT 0
ROX KT 0
LZ SSG 1
LZ SSG 1
JAG AFs 0
JAG AFs 0
KDM SKT 0
KDM SKT 0
SBENU LZ 1
SBENU LZ 1
CJ KT 0
CJ KT 0
SKT SSG 1
SKT SSG 1
SKT SSG 0
ROX AFs 1
ROX AFs 1
week
AFs LZ 1
AFs LZ 1
AFs LZ 0
KT SKT 1
KT SKT 1
ROX JAG 1
ROX JAG 1
KDM SSG 1
KDM SSG 0
KDM SSG 0
AFs CJ 1
AFs CJ 1
SKT SBENU 1
SKT SBENU 1
KT KDM 1
KT KDM 1
KT KDM 0
JAG LZ 1
JAG LZ 0
JAG LZ 0
week
JAG AFs 1
JAG AFs 1
SKT JAG 1
SKT JAG 1
SKT JAG 1
SKT JAG 0
KT SKT 0
KT SKT 0
KT SKT 0
ROX SKT 0
ROX SKT 0
ROX SKT 0
ROX SKT 1
end
