start
LPL (By Games)
week
EDG NB 1
EDG NB 0
EDG NB 1
Snake GT 1
Snake GT 0
Snake GT 0
RNG WE 0
RNG WE 1
RNG WE 1
OMG IMay 0
OMG IMay 0
EDG Snake 1
EDG Snake 1
GT SAT 1
GT SAT 1
NB iG 1
NB iG 0
NB iG 1
LGD IMay 0
LGD IMay 0
RNG VG 1
RNG VG 1
WE OMG 1
WE OMG 1
week
VG LGD 1
VG LGD 1
WE IMay 0
WE IMay 1
WE IMay 1
NB GT 0
NB GT 0
iG SAT 1
iG SAT 0
iG SAT 1
RNG OMG 1
RNG OMG 1
VG IMay 1
VG IMay 0
VG IMay 1
WE LGD 1
WE LGD 0
WE LGD 1
EDG SAT 1
EDG SAT 1
iG GT 1
iG GT 1
NB Snake 0
NB Snake 0
week
Snake SAT 1
Snake SAT 1
EDG iG 1
EDG iG 0
EDG iG 1
RNG LGD 1
RNG LGD 1
VG OMG 1
VG OMG 1
Snake iG 1
Snake iG 1
NB SAT 1
NB SAT 0
NB SAT 1
EDG GT 1
EDG GT 1
WE VG 1
WE VG 1
RNG IMay 1
RNG IMay 1
LGD OMG 0
LGD OMG 1
LGD OMG 1
week
EDG RNG 1
EDG RNG 0
EDG RNG 1
iG OMG 0
iG OMG 1
iG OMG 0
GT WE 1
GT WE 0
GT WE 1
LGD Snake 1
LGD Snake 1
NB VG 1
NB VG 1
iG RNG 0
iG RNG 0
SAT IMay 0
SAT IMay 0
GT LGD 1
GT LGD 1
Snake WE 0
Snake WE 1
Snake WE 1
week
VG SAT 1
VG SAT 0
VG SAT 1
EDG OMG 1
EDG OMG 0
EDG OMG 1
NB IMay 0
NB IMay 0
iG WE 0
iG WE 1
iG WE 0
Snake OMG 1
Snake OMG 1
EDG VG 1
EDG VG 1
LGD SAT 1
LGD SAT 1
GT IMay 0
GT IMay 0
NB RNG 0
NB RNG 1
NB RNG 0
week
WE SAT 1
WE SAT 1
GT RNG 1
GT RNG 0
GT RNG 0
iG IMay 1
iG IMay 0
iG IMay 0
OMG NB 1
OMG NB 1
GT VG 0
GT VG 0
RNG Snake 1
RNG Snake 1
EDG WE 1
EDG WE 1
NB LGD 1
NB LGD 0
NB LGD 1
SAT OMG 1
SAT OMG 1
week
VG iG 1
VG iG 1
EDG LGD 0
EDG LGD 1
EDG LGD 1
Snake IMay 0
Snake IMay 0
NB WE 0
NB WE 0
SAT RNG 0
SAT RNG 0
GT OMG 0
GT OMG 0
iG LGD 0
iG LGD 0
EDG IMay 1
EDG IMay 1
Snake VG 1
Snake VG 0
Snake VG 1
week
IMay OMG 1
IMay OMG 0
IMay OMG 1
WE RNG 1
WE RNG 0
WE RNG 1
NB EDG 0
NB EDG 0
GT Snake 0
GT Snake 1
GT Snake 0
IMay LGD 1
IMay LGD 1
OMG WE 0
OMG WE 1
OMG WE 0
VG RNG 1
VG RNG 0
VG RNG 0
GT EDG 0
GT EDG 0
SAT NB 1
SAT NB 0
SAT NB 0
iG Snake 1
iG Snake 0
iG Snake 0
week
SAT iG 1
SAT iG 0
SAT iG 0
GT NB 1
GT NB 1
IMay WE 1
IMay WE 0
IMay WE 0
LGD VG 1
LGD VG 1
SAT EDG 0
SAT EDG 0
GT iG 0
GT iG 0
Snake NB 1
Snake NB 1
LGD WE 1
LGD WE 1
LGD WE 0
IMay VG 0
IMay VG 0
OMG RNG 1
OMG RNG 1
OMG RNG 0
end
