start
LPL 2016 spring
week
EDG RNG 0
EDG RNG 0
VG OMG 1
VG OMG 1
WE EP.A 1
WE EP.A 1
WE EP.A 0
LGD QG 0
LGD QG 0
VG RNG 0
VG RNG 1
VG RNG 1
OMG HYG 1
OMG HYG 1
OMG HYG 0
EDG iG 0
EDG iG 0
QG WE 1
QG WE 1
M3 EP.A 0
M3 EP.A 0
LGD Snake 0
LGD Snake 1
LGD Snake 1
week
Snake M3 0
Snake M3 0
QG EP.A 1
QG EP.A 1
OMG RNG 0
OMG RNG 0
iG HYG 1
iG HYG 1
Snake EP.A 1
Snake EP.A 1
Snake EP.A 0
QG M3 1
QG M3 1
LGD WE 0
LGD WE 0
EDG VG 1
EDG VG 1
RNG HYG 1
RNG HYG 1
iG OMG 0
iG OMG 0
week
iG VG 1
iG VG 1
iG VG 0
EDG HYG 1
EDG HYG 1
LGD M3 0
LGD M3 0
Snake WE 1
Snake WE 1
Snake WE 0
iG RNG 1
iG RNG 1
iG RNG 0
EDG OMG 1
EDG OMG 1
VG HYG 1
VG HYG 1
WE M3 1
WE M3 1
LGD EP.A 1
LGD EP.A 1
QG Snake 1
QG Snake 1
week
LGD EDG 0
LGD EDG 0
RNG WE 0
RNG WE 0
VG M3 1
VG M3 1
VG M3 0
QG OMG 1
QG OMG 1
HYG EP.A 0
HYG EP.A 0
Snake iG 1
Snake iG 1
LGD RNG 0
LGD RNG 0
OMG M3 1
OMG M3 1
VG QG 0
VG QG 1
VG QG 1
week
WE EDG 0
WE EDG 1
WE EDG 1
HYG Snake 0
HYG Snake 0
iG EP.A 1
iG EP.A 1
RNG QG 1
RNG QG 1
HYG M3 1
HYG M3 1
WE VG 0
WE VG 0
EDG Snake 0
EDG Snake 1
EDG Snake 1
LGD iG 0
LGD iG 0
OMG EP.A 1
OMG EP.A 1
OMG EP.A 0
week
HYG QG 0
HYG QG 0
OMG LGD 1
OMG LGD 1
OMG LGD 0
RNG EP.A 1
RNG EP.A 1
WE iG 1
WE iG 1
OMG Snake 1
OMG Snake 1
OMG Snake 0
LGD VG 1
LGD VG 1
EDG QG 0
EDG QG 0
HYG WE 0
HYG WE 0
iG M3 0
iG M3 1
iG M3 1
week
Snake RNG 0
Snake RNG 0
EDG M3 1
EDG M3 1
VG EP.A 1
VG EP.A 1
HYG LGD 0
HYG LGD 0
iG QG 0
iG QG 1
iG QG 1
RNG M3 1
RNG M3 1
RNG M3 0
WE OMG 1
WE OMG 1
WE OMG 0
EDG EP.A 1
EDG EP.A 1
VG Snake 1
VG Snake 1
VG Snake 0
week
HYG EDG 0
HYG EDG 0
VG iG 0
VG iG 1
VG iG 1
QG LGD 0
QG LGD 0
EP.A WE 0
EP.A WE 1
EP.A WE 1
iG EDG 0
iG EDG 0
HYG OMG 0
HYG OMG 0
RNG VG 1
RNG VG 1
RNG VG 0
EP.A LGD 0
EP.A LGD 1
EP.A LGD 1
Snake QG 1
Snake QG 1
WE M3 1
WE M3 1
week
EP.A QG 1
EP.A QG 1
EP.A QG 0
M3 Snake 0
M3 Snake 0
RNG EDG 0
RNG EDG 1
RNG EDG 1
OMG iG 1
OMG iG 1
OMG iG 0
M3 QG 0
M3 QG 1
M3 QG 1
EP.A Snake 0
EP.A Snake 1
EP.A Snake 1
WE LGD 0
WE LGD 0
VG EDG 0
VG EDG 0
HYG iG 0
HYG iG 0
RNG OMG 1
RNG OMG 1
week
HYG RNG 0
HYG RNG 0
OMG VG 0
OMG VG 1
OMG VG 1
WE Snake 0
WE Snake 1
WE Snake 1
M3 LGD 0
M3 LGD 0
RNG iG 1
RNG iG 1
RNG iG 0
OMG EDG 0
OMG EDG 0
HYG VG 0
HYG VG 0
WE QG 1
WE QG 1
WE QG 0
Snake LGD 0
Snake LGD 1
Snake LGD 1
EP.A M3 1
EP.A M3 1
end
