start
LCK (By Games)
week
AFs LZ 1
AFs LZ 1
CJ Ever 0
CJ Ever 0
ROXT SSG 0
ROXT SSG 0
MVP KT 0
MVP KT 0
JAG LZ 1
JAG LZ 1
week
AFs SSG 0
AFs SSG 0
Ever JAG 0
Ever JAG 1
Ever JAG 0
ROXT MVP 1
ROXT MVP 0
ROXT MVP 1
LZ KT 1
LZ KT 0
LZ KT 0
SKT CJ 1
SKT CJ 1
Ever ROXT 0
Ever ROXT 0
SSG MVP 1
SSG MVP 1
KT SKT 0
KT SKT 0
CJ AFs 0
CJ AFs 0
week
ROXT SKT 0
ROXT SKT 0
LZ CJ 1
LZ CJ 0
LZ CJ 0
SSG JAG 1
SSG JAG 1
KT ROXT 0
KT ROXT 1
KT ROXT 0
Ever LZ 0
Ever LZ 0
CJ JAG 0
CJ JAG 0
KT AFs 1
KT AFs 1
MVP Ever 1
MVP Ever 1
SKT SSG 1
SKT SSG 1
week
SKT MVP 1
SKT MVP 1
JAG AFs 1
JAG AFs 1
ROXT CJ 0
ROXT CJ 1
ROXT CJ 1
SSG LZ 0
SSG LZ 0
AFs Ever 0
AFs Ever 0
JAG SKT 1
JAG SKT 0
JAG SKT 1
ROXT LZ 1
ROXT LZ 1
Ever KT 0
Ever KT 0
CJ SSG 0
CJ SSG 1
CJ SSG 0
week
JAG MVP 0
JAG MVP 0
SSG KT 0
SSG KT 0
SKT AFs 0
SKT AFs 0
MVP CJ 1
MVP CJ 1
JAG ROXT 0
JAG ROXT 0
Ever SSG 1
Ever SSG 0
Ever SSG 0
LZ SKT 0
LZ SKT 0
CJ KT 0
CJ KT 1
CJ KT 0
ROXT AFs 1
ROXT AFs 1
week
MVP LZ 1
MVP LZ 1
KT JAG 0
KT JAG 1
KT JAG 1
AFs MVP 1
AFs MVP 0
AFs MVP 1
SKT Ever 0
SKT Ever 1
SKT Ever 0
week
AFs KT 0
AFs KT 1
AFs KT 1
LZ MVP 0
LZ MVP 0
SSG Ever 1
SSG Ever 1
JAG CJ 0
JAG CJ 0
SKT ROXT 1
SKT ROXT 1
LZ SSG 0
LZ SSG 0
CJ MVP 1
CJ MVP 0
CJ MVP 0
SKT KT 0
SKT KT 1
SKT KT 1
ROXT JAG 1
ROXT JAG 0
ROXT JAG 1
week
MVP SKT 0
MVP SKT 0
JAG SSG 0
JAG SSG 0
ROXT KT 1
ROXT KT 1
Ever AFs 1
Ever AFs 0
Ever AFs 1
CJ LZ 0
# CJ LZ 0 JAG KT 1 teemo game = not really game
JAG KT 0
JAG KT 0
# JAG KT 1 teemo pick = not really game
MVP AFs 0
MVP AFs 0
ROXT SSG 1
SSG ROXT 0
SSG ROXT 0
LZ Ever 1
LZ Ever 0
LZ Ever 1
week
LZ ROXT 0
LZ ROXT 0
KT MVP 1
KT MVP 1
SSG SKT 0
SSG SKT 0
AFs CJ 0
AFs CJ 1
AFs CJ 1
JAG LZ 0
JAG LZ 1
JAG LZ 0
SSG CJ 1
SSG CJ 1
ROXT Ever 1
ROXT Ever 1
LZ JAG 1
LZ JAG 1
LZ JAG 0
SSG CJ 1
SSG CJ 1
AFs SKT 1
AFs SKT 1
Ever MVP 1
Ever MVP 1
Ever MVP 0
week
CJ SKT 0
CJ SKT 0
CJ SKT 1
AFs JAG 0
AFs JAG 0
AFs JAG 1
KT LZ 1
KT LZ 1
Ever SKT 0
Ever SKT 0
MVP JAG 1
MVP JAG 1
LZ AFs 1
LZ AFs 1
LZ AFs 0
KT Ever 1
KT Ever 1
KT Ever 0
MVP SSG 0
MVP SSG 0
MVP SSG 1
CJ ROXT 0
CJ ROXT 0
week
SSG AFs 1
SSG AFs 1
SSG AFs 0
Ever CJ 1
Ever CJ 0
Ever CJ 0
SKT JAG 1
SKT JAG 1
SKT JAG 0
MVP ROXT 0
MVP ROXT 0
KT CJ 1
KT CJ 1
AFs ROXT 0
AFs ROXT 0
SKT LZ 0
SKT LZ 0
JAG Ever 1
JAG Ever 1
JAG Ever 0
KT SSG 1
KT SSG 1
week
SSG AFs 1
SSG AFs 1
KT SSG 1
KT SSG 1
KT SSG 1
SKT KT 1
SKT KT 0
SKT KT 0
SKT KT 1
SKT KT 0
week
ROXT KT 1
ROXT KT 1
ROXT KT 0
ROXT KT 0
ROXT KT 1
week
AFs JAG 1
AFs JAG 1
AFs JAG 0
AFs JAG 0
AFs JAG 1
SSG AFs 1
SSG AFs 1
SSG AFs 1
SSG AFs 0
KT SSG 1
KT SSG 1
KT SSG 0
KT SSG 0
KT SSG 0
end
