start
LPL (By Games)
week
EDG NB 1
EDG NB 0
EDG NB 1
Snake GMT 1
Snake GMT 0
Snake GMT 0
RNG WE 0
RNG WE 1
RNG WE 1
OMG IMAY 0
OMG IMAY 0
EDG Snake 1
EDG Snake 1
GMT SAT 1
GMT SAT 1
NB iG 1
NB iG 0
NB iG 1
LGD IMAY 0
LGD IMAY 0
RNG VG 1
RNG VG 1
WE OMG 1
WE OMG 1
week
VG LGD 1
VG LGD 1
WE IMAY 0
WE IMAY 1
WE IMAY 1
NB GMT 0
NB GMT 0
iG SAT 1
iG SAT 0
iG SAT 1
RNG OMG 1
RNG OMG 1
VG IMAY 1
VG IMAY 0
VG IMAY 1
WE LGD 1
WE LGD 0
WE LGD 1
EDG SAT 1
EDG SAT 1
iG GMT 1
iG GMT 1
NB Snake 0
NB Snake 0
week
Snake SAT 1
Snake SAT 1
EDG iG 1
EDG iG 0
EDG iG 1
RNG LGD 1
RNG LGD 1
VG OMG 1
VG OMG 1
Snake iG 1
Snake iG 1
NB SAT 1
NB SAT 0
NB SAT 1
EDG GMT 1
EDG GMT 1
WE VG 1
WE VG 1
RNG IMAY 1
RNG IMAY 1
LGD OMG 0
LGD OMG 1
LGD OMG 1
week
EDG RNG 1
EDG RNG 0
EDG RNG 1
iG OMG 0
iG OMG 1
iG OMG 0
GMT WE 1
GMT WE 0
GMT WE 1
LGD Snake 1
LGD Snake 1
NB VG 1
NB VG 1
iG RNG 0
iG RNG 0
SAT IMAY 0
SAT IMAY 0
GMT LGD 1
GMT LGD 1
Snake WE 0
Snake WE 1
Snake WE 1
week
VG SAT 1
VG SAT 0
VG SAT 1
EDG OMG 1
EDG OMG 0
EDG OMG 1
NB IMAY 0
NB IMAY 0
iG WE 0
iG WE 1
iG WE 0
Snake OMG 1
Snake OMG 1
EDG VG 1
EDG VG 1
LGD SAT 1
LGD SAT 1
GMT IMAY 0
GMT IMAY 0
NB RNG 0
NB RNG 1
NB RNG 0
week
WE SAT 1
WE SAT 1
GMT RNG 1
GMT RNG 0
GMT RNG 0
iG IMAY 1
iG IMAY 0
iG IMAY 0
OMG NB 1
OMG NB 1
GMT VG 0
GMT VG 0
RNG Snake 1
RNG Snake 1
EDG WE 1
EDG WE 1
NB LGD 1
NB LGD 0
NB LGD 1
SAT OMG 1
SAT OMG 1
week
VG iG 1
VG iG 1
EDG LGD 0
EDG LGD 1
EDG LGD 1
Snake IMAY 0
Snake IMAY 0
NB WE 0
NB WE 0
SAT RNG 0
SAT RNG 0
GMT OMG 0
GMT OMG 0
iG LGD 0
iG LGD 0
EDG IMAY 1
EDG IMAY 1
Snake VG 1
Snake VG 0
Snake VG 1
week
IMAY OMG 1
IMAY OMG 0
IMAY OMG 1
WE RNG 1
WE RNG 0
WE RNG 1
NB EDG 0
NB EDG 0
GMT Snake 0
GMT Snake 1
GMT Snake 0
IMAY LGD 1
IMAY LGD 1
OMG WE 0
OMG WE 1
OMG WE 0
VG RNG 1
VG RNG 0
VG RNG 0
GMT EDG 0
GMT EDG 0
SAT NB 1
SAT NB 0
SAT NB 0
iG Snake 1
iG Snake 0
iG Snake 0
week
SAT iG 1
SAT iG 0
SAT iG 0
GMT NB 1
GMT NB 1
IMAY WE 1
IMAY WE 0
IMAY WE 0
LGD VG 1
LGD VG 1
SAT EDG 0
SAT EDG 0
GMT iG 0
GMT iG 0
Snake NB 1
Snake NB 1
LGD WE 1
LGD WE 1
LGD WE 0
IMAY VG 0
IMAY VG 0
OMG RNG 1
OMG RNG 1
OMG RNG 0
week
LGD RNG 1
LGD RNG 0
LGD RNG 0
OMG VG 1
OMG VG 0
OMG VG 0
SAT Snake 1
SAT Snake 0
SAT Snake 0
iG EDG 0
iG EDG 0
VG WE 1
VG WE 1
OMG LGD 0
OMG LGD 0
IMAY RNG 0
IMAY RNG 0
SAT GMT 1
SAT GMT 0
SAT GMT 0
Snake EDG 0
Snake EDG 0
iG NB 1
iG NB 1
iG NB 0
week
GMT VG 1
GMT VG 0
GMT VG 0
GMT VG 0
IMAY iG 1
IMAY iG 1
IMAY iG 1
Snake IMAY 1
Snake IMAY 0
Snake IMAY 0
Snake IMAY 0
WE VG 1
WE VG 1
WE VG 0
WE VG 1
WE EDG 1
WE EDG 1
WE EDG 0
WE EDG 0
WE EDG 0
RNG IMAY 1
RNG IMAY 1
RNG IMAY 0
RNG IMAY 0
RNG IMAY 1
VG Snake 0
VG Snake 0
WE IMAY 1
WE IMAY 0
WE IMAY 0
WE IMAY 0
EDG RNG 1
EDG RNG 1
EDG RNG 1
week
Snake VG 1
Snake VG 1
Snake VG 0
Snake VG 0
Snake VG 1
WE Snake 1
WE Snake 1
WE Snake 0
WE Snake 0
WE Snake 1
IMAY WE 1
IMAY WE 1
IMAY WE 0
IMAY WE 0
IMAY WE 1
end
